id;art;name;category;weight;date;price
521;100521;product 521;cat 510;2601;2018-03-27;37270
522;100522;product 522;cat 511;241;2017-10-14;14424
523;100523;product 523;cat 512;830;2018-04-21;53735
524;100524;product 524;cat 513;3927;2018-12-02;11582
525;100525;product 525;cat 514;1263;2017-04-13;84271
526;100526;product 526;cat 515;3595;2018-07-31;8420
527;100527;product 527;cat 516;4204;2018-07-21;89477
528;100528;product 528;cat 517;1626;2018-12-13;51831
529;100529;product 529;cat 518;451;2017-04-07;29393
530;100530;product 530;cat 519;503;2017-06-09;32517
531;100531;product 531;cat 520;2822;2017-11-15;87518
532;100532;product 532;cat 521;4052;2018-02-17;44532
533;100533;product 533;cat 522;487;2018-03-01;79758
534;100534;product 534;cat 523;4911;2017-09-24;17756
535;100535;product 535;cat 524;956;2018-05-09;54882
536;100536;product 536;cat 525;3633;2017-10-24;36714
537;100537;product 537;cat 526;4140;2018-04-04;69731
538;100538;product 538;cat 527;1808;2017-03-27;35373
539;100539;product 539;cat 528;2779;2018-10-11;35559
540;100540;product 540;cat 529;3721;2017-09-03;9654
541;100541;product 541;cat 530;980;2017-06-24;47652
542;100542;product 542;cat 531;3821;2017-02-23;80594
543;100543;product 543;cat 532;1412;2017-04-29;78522
544;100544;product 544;cat 533;2725;2018-04-02;63914
545;100545;product 545;cat 534;4826;2017-02-20;9144
546;100546;product 546;cat 535;3070;2017-07-13;75324
547;100547;product 547;cat 536;3371;2018-09-25;19300
548;100548;product 548;cat 537;1319;2017-06-19;2492
549;100549;product 549;cat 538;393;2017-04-15;18674
550;100550;product 550;cat 539;2357;2018-07-26;20015
551;100551;product 551;cat 540;3375;2018-11-06;54943
552;100552;product 552;cat 541;190;2017-09-02;85561
553;100553;product 553;cat 542;4757;2017-06-28;76641
554;100554;product 554;cat 543;990;2017-02-24;70300
555;100555;product 555;cat 544;4495;2017-02-27;47099
556;100556;product 556;cat 545;2291;2018-06-02;29221
557;100557;product 557;cat 546;1302;2017-07-05;59092
558;100558;product 558;cat 547;1981;2018-07-21;45611
559;100559;product 559;cat 548;1250;2018-12-27;78380
560;100560;product 560;cat 549;2457;2017-06-15;31113
561;100561;product 561;cat 550;303;2017-03-31;3779
562;100562;product 562;cat 551;1632;2017-02-16;85585
563;100563;product 563;cat 552;2308;2017-05-17;55145
564;100564;product 564;cat 553;4875;2018-01-16;53936
565;100565;product 565;cat 554;4103;2018-06-30;60709
566;100566;product 566;cat 555;3681;2018-06-25;53545
567;100567;product 567;cat 556;956;2017-06-18;78230
568;100568;product 568;cat 557;3097;2018-10-25;53359
569;100569;product 569;cat 558;2307;2017-08-17;43692
570;100570;product 570;cat 559;732;2018-09-28;49758
571;100571;product 571;cat 560;4546;2017-11-19;73573
572;100572;product 572;cat 561;3260;2017-01-08;86059
573;100573;product 573;cat 562;1362;2017-05-09;1093
574;100574;product 574;cat 563;4706;2017-05-09;40723
575;100575;product 575;cat 564;4746;2018-07-11;22465
576;100576;product 576;cat 565;1002;2018-04-03;5601
577;100577;product 577;cat 566;4894;2018-07-18;40763
578;100578;product 578;cat 567;3843;2018-04-18;86077
579;100579;product 579;cat 568;3912;2018-03-14;26644
580;100580;product 580;cat 569;4316;2018-03-07;87548
581;100581;product 581;cat 570;4516;2018-03-31;31587
582;100582;product 582;cat 571;1258;2018-07-21;78058
583;100583;product 583;cat 572;2165;2017-03-19;11415
584;100584;product 584;cat 573;2139;2017-04-28;74599
585;100585;product 585;cat 574;1911;2017-03-12;24913
586;100586;product 586;cat 575;4334;2018-04-02;88710
587;100587;product 587;cat 576;4555;2018-05-04;66521
588;100588;product 588;cat 577;160;2018-09-20;81543
589;100589;product 589;cat 578;4030;2018-04-04;76919
590;100590;product 590;cat 579;4489;2018-07-14;84586
591;100591;product 591;cat 580;1687;2018-07-05;10429
592;100592;product 592;cat 581;2766;2018-01-26;796
593;100593;product 593;cat 582;853;2017-07-18;47969
594;100594;product 594;cat 583;4250;2017-01-09;44042
595;100595;product 595;cat 584;3568;2018-05-20;2552
596;100596;product 596;cat 585;4588;2017-11-09;88614
597;100597;product 597;cat 586;3562;2017-12-04;12171
598;100598;product 598;cat 587;977;2017-02-07;31040
599;100599;product 599;cat 588;106;2017-12-22;21304
600;100600;product 600;cat 589;1877;2017-11-28;87005
601;100601;product 601;cat 590;4586;2017-08-17;47332
602;100602;product 602;cat 591;2365;2018-04-17;48989
603;100603;product 603;cat 592;2676;2017-05-21;36549
604;100604;product 604;cat 593;1802;2018-11-17;6397
605;100605;product 605;cat 594;2332;2017-12-11;7382
606;100606;product 606;cat 595;1370;2017-02-04;28286
607;100607;product 607;cat 596;2481;2018-02-02;41450
608;100608;product 608;cat 597;932;2017-02-13;16735
609;100609;product 609;cat 598;4539;2018-11-05;46819
610;100610;product 610;cat 599;3043;2018-10-21;53979
611;100611;product 611;cat 600;4865;2018-04-13;45099
612;100612;product 612;cat 601;1054;2017-03-17;52315
613;100613;product 613;cat 602;4763;2017-11-03;14424
614;100614;product 614;cat 603;1385;2018-06-04;73374
615;100615;product 615;cat 604;1214;2018-11-20;81805
616;100616;product 616;cat 605;2000;2017-07-16;6024
617;100617;product 617;cat 606;505;2017-07-09;60421
618;100618;product 618;cat 607;757;2018-06-22;65431
619;100619;product 619;cat 608;3044;2018-01-14;34011
620;100620;product 620;cat 609;1601;2018-06-30;27513
621;100621;product 621;cat 610;4816;2017-10-09;46622
622;100622;product 622;cat 611;1328;2018-09-07;68125
623;100623;product 623;cat 612;3767;2017-01-11;75115
624;100624;product 624;cat 613;1288;2017-12-24;77924
625;100625;product 625;cat 614;129;2017-12-03;16942
626;100626;product 626;cat 615;2220;2017-01-21;52621
627;100627;product 627;cat 616;3495;2017-06-29;7712
628;100628;product 628;cat 617;3966;2018-05-14;6709
629;100629;product 629;cat 618;3426;2017-09-13;84984
630;100630;product 630;cat 619;3112;2018-03-10;88151
631;100631;product 631;cat 620;1149;2017-04-21;5390
632;100632;product 632;cat 621;2260;2017-11-18;15871
633;100633;product 633;cat 622;1224;2017-08-27;70239
634;100634;product 634;cat 623;2758;2018-06-25;86273
635;100635;product 635;cat 624;4969;2017-05-22;4925
636;100636;product 636;cat 625;4214;2017-06-01;20168
637;100637;product 637;cat 626;269;2018-09-07;65878
638;100638;product 638;cat 627;784;2018-11-28;31965
639;100639;product 639;cat 628;998;2018-07-02;6327
640;100640;product 640;cat 629;3200;2017-05-18;74207
641;100641;product 641;cat 630;4305;2018-06-16;5712
642;100642;product 642;cat 631;3131;2018-05-23;35120
643;100643;product 643;cat 632;4969;2018-03-04;52604
644;100644;product 644;cat 633;4411;2017-05-24;5623
645;100645;product 645;cat 634;620;2018-03-01;26034
646;100646;product 646;cat 635;4037;2018-05-27;61011
647;100647;product 647;cat 636;3239;2017-03-16;2344
648;100648;product 648;cat 637;4928;2017-01-08;58453
649;100649;product 649;cat 638;1520;2018-06-12;32603
650;100650;product 650;cat 639;1188;2017-07-29;33948
651;100651;product 651;cat 640;3988;2017-10-24;88589
652;100652;product 652;cat 641;1264;2018-06-29;64042
653;100653;product 653;cat 642;4714;2018-01-04;85665
654;100654;product 654;cat 643;444;2018-10-27;66174
655;100655;product 655;cat 644;3725;2018-11-28;21179
656;100656;product 656;cat 645;287;2017-12-13;22683
657;100657;product 657;cat 646;3917;2017-02-12;59271
658;100658;product 658;cat 647;4146;2017-07-30;38801
659;100659;product 659;cat 648;850;2017-04-07;76841
660;100660;product 660;cat 649;1719;2017-05-29;29737
661;100661;product 661;cat 650;2059;2017-09-06;22098
662;100662;product 662;cat 651;1797;2017-12-12;49900
663;100663;product 663;cat 652;119;2018-05-11;59246
664;100664;product 664;cat 653;960;2017-08-08;61083
665;100665;product 665;cat 654;4805;2017-09-04;28351
666;100666;product 666;cat 655;4702;2017-04-15;18457
667;100667;product 667;cat 656;319;2017-09-20;68266
668;100668;product 668;cat 657;2709;2017-05-06;19575
669;100669;product 669;cat 658;3247;2018-01-31;59859
670;100670;product 670;cat 659;4717;2017-12-12;37947
671;100671;product 671;cat 660;1927;2018-08-16;89834
672;100672;product 672;cat 661;4483;2017-11-12;18313
673;100673;product 673;cat 662;3082;2018-09-01;68778
674;100674;product 674;cat 663;1768;2018-06-18;31744
675;100675;product 675;cat 664;4852;2017-12-27;48770
676;100676;product 676;cat 665;4038;2017-08-03;53560
677;100677;product 677;cat 666;4846;2017-05-11;45112
678;100678;product 678;cat 667;184;2017-04-28;16626
679;100679;product 679;cat 668;1157;2017-05-28;57767
680;100680;product 680;cat 669;3364;2017-03-17;20475
681;100681;product 681;cat 670;1149;2018-01-31;72734
682;100682;product 682;cat 671;4228;2017-03-31;35522
683;100683;product 683;cat 672;3886;2017-04-09;64848
684;100684;product 684;cat 673;1126;2018-02-23;29325
685;100685;product 685;cat 674;379;2017-04-18;73466
686;100686;product 686;cat 675;3772;2018-10-15;67902
687;100687;product 687;cat 676;3529;2018-12-24;40396
688;100688;product 688;cat 677;4765;2017-01-29;64170
689;100689;product 689;cat 678;1914;2018-04-30;35797
690;100690;product 690;cat 679;2367;2017-09-25;55419
691;100691;product 691;cat 680;2111;2017-08-14;46635
692;100692;product 692;cat 681;4155;2018-07-15;82627
693;100693;product 693;cat 682;1387;2017-10-03;15224
694;100694;product 694;cat 683;4126;2017-12-31;6455
695;100695;product 695;cat 684;1308;2017-11-03;41393
696;100696;product 696;cat 685;2910;2018-04-26;77632
697;100697;product 697;cat 686;2631;2018-11-17;56031
698;100698;product 698;cat 687;3391;2017-10-02;30549
699;100699;product 699;cat 688;248;2018-04-29;1394
700;100700;product 700;cat 689;123;2018-03-27;84421
701;100701;product 701;cat 690;2610;2017-04-11;32761
702;100702;product 702;cat 691;1384;2018-11-23;13744
703;100703;product 703;cat 692;1394;2018-04-03;72608
704;100704;product 704;cat 693;680;2018-06-15;87512
705;100705;product 705;cat 694;4269;2017-07-14;40593
706;100706;product 706;cat 695;1849;2018-03-28;48515
707;100707;product 707;cat 696;1413;2018-12-17;18919
708;100708;product 708;cat 697;1507;2017-02-19;76785
709;100709;product 709;cat 698;4978;2018-12-18;13975
710;100710;product 710;cat 699;4749;2017-10-29;86970
711;100711;product 711;cat 700;3910;2017-09-25;2320
712;100712;product 712;cat 701;2956;2017-12-29;72006
713;100713;product 713;cat 702;2474;2017-11-09;66808
714;100714;product 714;cat 703;2621;2018-02-24;58830
715;100715;product 715;cat 704;1524;2018-12-09;44404
716;100716;product 716;cat 705;4870;2018-05-11;38934
717;100717;product 717;cat 706;2738;2017-04-26;35118
718;100718;product 718;cat 707;3544;2018-11-19;83786
719;100719;product 719;cat 708;959;2018-04-09;1894
720;100720;product 720;cat 709;1605;2018-02-07;83440
721;100721;product 721;cat 710;4200;2018-05-06;980
722;100722;product 722;cat 711;3193;2017-09-20;21845
723;100723;product 723;cat 712;392;2017-08-13;48800
724;100724;product 724;cat 713;4165;2018-09-04;88889
725;100725;product 725;cat 714;3568;2017-10-14;24434
726;100726;product 726;cat 715;2540;2017-01-31;66972
727;100727;product 727;cat 716;2358;2018-08-10;6179
728;100728;product 728;cat 717;2084;2017-10-15;47070
729;100729;product 729;cat 718;2379;2018-06-10;22932
730;100730;product 730;cat 719;639;2018-01-14;7150
731;100731;product 731;cat 720;3934;2017-07-16;62710
732;100732;product 732;cat 721;1359;2018-07-17;21936
733;100733;product 733;cat 722;4652;2019-01-01;51762
734;100734;product 734;cat 723;1297;2018-05-19;17545
735;100735;product 735;cat 724;3724;2018-01-18;82212
736;100736;product 736;cat 725;936;2018-04-30;87218
737;100737;product 737;cat 726;1360;2017-07-18;45331
738;100738;product 738;cat 727;3175;2017-03-07;45237
739;100739;product 739;cat 728;693;2018-01-28;74142
740;100740;product 740;cat 729;2988;2017-10-13;31036
741;100741;product 741;cat 730;520;2017-03-10;20478
742;100742;product 742;cat 731;4983;2018-05-23;48708
743;100743;product 743;cat 732;519;2017-06-10;21868
744;100744;product 744;cat 733;3958;2017-01-15;5764
745;100745;product 745;cat 734;1126;2017-12-27;7762
746;100746;product 746;cat 735;1159;2018-07-05;26563
747;100747;product 747;cat 736;3442;2018-04-25;36289
748;100748;product 748;cat 737;3865;2017-03-26;7140
749;100749;product 749;cat 738;1549;2017-06-07;83618
750;100750;product 750;cat 739;2110;2018-07-12;14050
751;100751;product 751;cat 740;1886;2017-04-10;68539
752;100752;product 752;cat 741;4805;2018-10-26;85760
753;100753;product 753;cat 742;155;2018-12-19;60648
754;100754;product 754;cat 743;3017;2017-09-08;165
755;100755;product 755;cat 744;228;2017-03-04;29925
756;100756;product 756;cat 745;2207;2018-11-12;5464
757;100757;product 757;cat 746;4884;2017-04-20;55325
758;100758;product 758;cat 747;903;2017-06-02;72193
759;100759;product 759;cat 748;2165;2017-03-24;84456
760;100760;product 760;cat 749;3480;2018-12-09;43647
761;100761;product 761;cat 750;3040;2018-12-09;59322
762;100762;product 762;cat 751;720;2018-12-14;48035
763;100763;product 763;cat 752;814;2018-10-26;68616
764;100764;product 764;cat 753;1274;2017-09-17;22536
765;100765;product 765;cat 754;2155;2017-04-29;9068
766;100766;product 766;cat 755;4478;2018-09-22;25965
767;100767;product 767;cat 756;3285;2018-10-04;4192
768;100768;product 768;cat 757;1902;2017-08-22;23237
769;100769;product 769;cat 758;239;2017-09-01;16847
770;100770;product 770;cat 759;2197;2017-06-16;87088
771;100771;product 771;cat 760;1411;2018-04-15;46978
772;100772;product 772;cat 761;767;2017-08-04;52038
773;100773;product 773;cat 762;2737;2018-09-06;31533
774;100774;product 774;cat 763;3284;2017-11-14;87423
775;100775;product 775;cat 764;1316;2017-02-27;1048
776;100776;product 776;cat 765;4414;2017-01-03;34781
777;100777;product 777;cat 766;985;2018-08-04;75375
778;100778;product 778;cat 767;1449;2018-07-14;75587
779;100779;product 779;cat 768;697;2018-03-21;39051
780;100780;product 780;cat 769;2890;2018-03-21;31275
781;100781;product 781;cat 770;4070;2018-06-06;65470
782;100782;product 782;cat 771;4226;2017-11-07;40616
783;100783;product 783;cat 772;4289;2018-06-30;1672
784;100784;product 784;cat 773;3831;2017-09-19;69272
785;100785;product 785;cat 774;1871;2018-08-11;79048
786;100786;product 786;cat 775;1555;2017-10-25;35197
787;100787;product 787;cat 776;3178;2017-09-17;8604
788;100788;product 788;cat 777;1930;2018-04-14;82384
789;100789;product 789;cat 778;4998;2017-11-04;83401
790;100790;product 790;cat 779;164;2018-10-13;34954
791;100791;product 791;cat 780;4687;2018-04-08;22583
792;100792;product 792;cat 781;1392;2018-01-29;80464
793;100793;product 793;cat 782;305;2017-11-07;16443
794;100794;product 794;cat 783;1809;2018-02-11;52595
795;100795;product 795;cat 784;2571;2017-04-05;16078
796;100796;product 796;cat 785;4293;2018-04-23;64914
797;100797;product 797;cat 786;2732;2017-02-21;71477
798;100798;product 798;cat 787;1521;2018-01-27;86257
799;100799;product 799;cat 788;639;2018-05-04;25635
800;100800;product 800;cat 789;3443;2018-09-15;36212
801;100801;product 801;cat 790;889;2018-12-12;50174
802;100802;product 802;cat 791;1879;2017-12-23;10535
803;100803;product 803;cat 792;3122;2018-04-22;3761
804;100804;product 804;cat 793;3043;2018-03-29;25852
805;100805;product 805;cat 794;3377;2017-11-16;50484
806;100806;product 806;cat 795;1392;2017-05-14;31703
807;100807;product 807;cat 796;447;2018-01-04;68133
808;100808;product 808;cat 797;1260;2018-09-07;7831
809;100809;product 809;cat 798;780;2017-10-27;56819
810;100810;product 810;cat 799;3089;2017-07-07;19548
811;100811;product 811;cat 800;2176;2018-03-26;83876
812;100812;product 812;cat 801;4206;2018-08-21;47979
813;100813;product 813;cat 802;3682;2017-05-17;73809
814;100814;product 814;cat 803;2558;2017-12-05;21099
815;100815;product 815;cat 804;1595;2017-07-08;42142
816;100816;product 816;cat 805;1653;2018-07-15;41008
817;100817;product 817;cat 806;230;2018-08-19;48364
818;100818;product 818;cat 807;1584;2017-04-18;69757
819;100819;product 819;cat 808;2140;2017-12-24;652
820;100820;product 820;cat 809;637;2018-04-23;89275
821;100821;product 821;cat 810;573;2018-01-05;60790
822;100822;product 822;cat 811;4668;2017-06-30;34274
823;100823;product 823;cat 812;4748;2018-01-07;52238
824;100824;product 824;cat 813;3643;2017-08-06;73100
825;100825;product 825;cat 814;4621;2017-11-16;44301
826;100826;product 826;cat 815;3674;2018-07-08;38184
827;100827;product 827;cat 816;1566;2018-03-17;57415
828;100828;product 828;cat 817;3692;2017-07-13;66639
829;100829;product 829;cat 818;3512;2017-04-09;41722
830;100830;product 830;cat 819;2911;2018-04-13;47104
831;100831;product 831;cat 820;3307;2018-03-08;28412
832;100832;product 832;cat 821;173;2017-08-15;22366
833;100833;product 833;cat 822;1991;2017-06-29;80352
834;100834;product 834;cat 823;1445;2017-02-10;9450
835;100835;product 835;cat 824;2369;2018-05-03;61405
836;100836;product 836;cat 825;2159;2017-12-21;75625
837;100837;product 837;cat 826;2918;2018-01-23;11642
838;100838;product 838;cat 827;2869;2018-03-20;21312
839;100839;product 839;cat 828;3742;2018-10-18;73871
840;100840;product 840;cat 829;3177;2018-08-04;41300
841;100841;product 841;cat 830;3365;2017-03-25;71084
842;100842;product 842;cat 831;3557;2018-09-14;87090
843;100843;product 843;cat 832;2897;2018-05-25;14553
844;100844;product 844;cat 833;4783;2017-08-11;80947
845;100845;product 845;cat 834;4722;2018-03-24;1036
846;100846;product 846;cat 835;2119;2017-01-02;86156
847;100847;product 847;cat 836;2309;2017-10-05;25378
848;100848;product 848;cat 837;445;2018-02-06;76199
849;100849;product 849;cat 838;2653;2018-12-09;9675
850;100850;product 850;cat 839;1003;2018-07-29;44844
851;100851;product 851;cat 840;2263;2017-05-22;8074
852;100852;product 852;cat 841;3534;2018-02-09;15868
853;100853;product 853;cat 842;4900;2018-03-14;70990
854;100854;product 854;cat 843;3234;2018-04-09;14984
855;100855;product 855;cat 844;2355;2017-12-05;53101
856;100856;product 856;cat 845;3084;2017-07-29;33537
857;100857;product 857;cat 846;5000;2018-12-07;3197
858;100858;product 858;cat 847;1960;2018-08-05;11326
859;100859;product 859;cat 848;1879;2018-09-23;67677
860;100860;product 860;cat 849;4958;2018-04-10;56262
861;100861;product 861;cat 850;808;2018-10-20;1909
862;100862;product 862;cat 851;3217;2018-02-22;23749
863;100863;product 863;cat 852;2368;2018-01-17;43801
864;100864;product 864;cat 853;4339;2017-05-12;36003
865;100865;product 865;cat 854;2941;2018-10-18;4983
866;100866;product 866;cat 855;2260;2017-09-30;46526
867;100867;product 867;cat 856;2165;2018-04-14;70843
868;100868;product 868;cat 857;1377;2017-01-06;80010
869;100869;product 869;cat 858;2675;2018-09-27;70655
870;100870;product 870;cat 859;697;2017-04-07;79903
871;100871;product 871;cat 860;3543;2018-02-07;70849
872;100872;product 872;cat 861;3264;2018-09-08;56028
873;100873;product 873;cat 862;484;2017-08-25;54590
874;100874;product 874;cat 863;1454;2018-08-11;84486
875;100875;product 875;cat 864;631;2017-04-25;89196
876;100876;product 876;cat 865;2095;2017-09-13;37411
877;100877;product 877;cat 866;1911;2018-11-18;72700
878;100878;product 878;cat 867;1115;2018-05-08;78493
879;100879;product 879;cat 868;921;2017-03-19;47975
880;100880;product 880;cat 869;1312;2018-12-30;28553
881;100881;product 881;cat 870;2774;2017-08-20;89847
882;100882;product 882;cat 871;1428;2018-01-26;15953
883;100883;product 883;cat 872;1453;2017-04-09;45142
884;100884;product 884;cat 873;1858;2017-12-04;88494
885;100885;product 885;cat 874;520;2017-06-15;46995
886;100886;product 886;cat 875;3113;2018-05-06;10213
887;100887;product 887;cat 876;4502;2018-10-24;51630
888;100888;product 888;cat 877;2050;2018-12-18;1498
889;100889;product 889;cat 878;3874;2018-02-15;22779
890;100890;product 890;cat 879;4225;2017-05-09;7320
891;100891;product 891;cat 880;4004;2018-03-02;62528
892;100892;product 892;cat 881;1636;2017-06-24;76036
893;100893;product 893;cat 882;1633;2018-09-14;2302
894;100894;product 894;cat 883;340;2018-12-04;13087
895;100895;product 895;cat 884;1067;2018-08-10;54077
896;100896;product 896;cat 885;2870;2018-03-13;66800
897;100897;product 897;cat 886;3304;2017-04-25;31771
898;100898;product 898;cat 887;1063;2017-07-31;79303
899;100899;product 899;cat 888;2281;2018-06-22;50977
900;100900;product 900;cat 889;2464;2017-12-04;82887
901;100901;product 901;cat 890;1945;2017-07-01;42609
902;100902;product 902;cat 891;2407;2018-04-27;18894
903;100903;product 903;cat 892;3035;2018-11-07;46684
904;100904;product 904;cat 893;2071;2018-10-27;9297
905;100905;product 905;cat 894;2025;2018-04-26;6940
906;100906;product 906;cat 895;3068;2017-12-07;84178
907;100907;product 907;cat 896;2370;2017-04-06;27325
908;100908;product 908;cat 897;1750;2018-09-05;2245
909;100909;product 909;cat 898;3682;2017-10-06;28399
910;100910;product 910;cat 899;639;2018-02-06;658
911;100911;product 911;cat 900;768;2018-11-24;32885
912;100912;product 912;cat 901;3791;2017-07-07;58470
913;100913;product 913;cat 902;4682;2017-09-14;40786
914;100914;product 914;cat 903;3462;2017-06-13;8719
915;100915;product 915;cat 904;2333;2018-05-30;20352
916;100916;product 916;cat 905;3968;2018-05-22;65474
917;100917;product 917;cat 906;3762;2018-03-26;79423
918;100918;product 918;cat 907;3196;2017-02-25;43697
919;100919;product 919;cat 908;851;2017-11-11;36113
920;100920;product 920;cat 909;2569;2017-01-16;47586
921;100921;product 921;cat 910;1125;2017-08-01;19049
922;100922;product 922;cat 911;791;2018-09-22;29668
923;100923;product 923;cat 912;829;2017-05-31;12395
924;100924;product 924;cat 913;2206;2018-05-25;34984
925;100925;product 925;cat 914;3705;2017-06-27;73437
926;100926;product 926;cat 915;763;2018-09-02;15323
927;100927;product 927;cat 916;930;2018-11-12;11916
928;100928;product 928;cat 917;3831;2018-02-13;79314
929;100929;product 929;cat 918;3496;2018-01-27;47774
930;100930;product 930;cat 919;3406;2017-01-16;42977
931;100931;product 931;cat 920;209;2017-07-11;65299
932;100932;product 932;cat 921;1310;2017-04-03;79904
933;100933;product 933;cat 922;3171;2018-03-19;7086
934;100934;product 934;cat 923;960;2017-04-12;73467
935;100935;product 935;cat 924;4830;2018-01-11;32942
936;100936;product 936;cat 925;4007;2018-04-14;76530
937;100937;product 937;cat 926;1479;2017-01-27;8417
938;100938;product 938;cat 927;4499;2018-08-28;36686
939;100939;product 939;cat 928;719;2018-03-16;72212
940;100940;product 940;cat 929;1539;2017-12-13;82307
941;100941;product 941;cat 930;2766;2018-03-28;4422
942;100942;product 942;cat 931;1054;2017-08-14;32513
943;100943;product 943;cat 932;2340;2018-09-17;54457
944;100944;product 944;cat 933;1984;2018-12-08;40246
945;100945;product 945;cat 934;1188;2018-03-15;70560
946;100946;product 946;cat 935;2517;2017-10-18;67713
947;100947;product 947;cat 936;4889;2018-12-07;17979
948;100948;product 948;cat 937;2907;2018-09-16;58922
949;100949;product 949;cat 938;1297;2018-07-25;46591
950;100950;product 950;cat 939;3466;2017-08-09;54646
951;100951;product 951;cat 940;1890;2018-09-01;12359
952;100952;product 952;cat 941;4965;2017-09-24;11979
953;100953;product 953;cat 942;3685;2018-09-18;72469
954;100954;product 954;cat 943;1437;2017-01-12;57590
955;100955;product 955;cat 944;3942;2017-06-26;19732
956;100956;product 956;cat 945;4362;2017-10-11;53563
957;100957;product 957;cat 946;230;2017-07-29;49679
958;100958;product 958;cat 947;2861;2017-03-16;59412
959;100959;product 959;cat 948;4561;2017-04-02;61723
960;100960;product 960;cat 949;4742;2017-11-21;75563
961;100961;product 961;cat 950;4112;2017-01-08;62527
962;100962;product 962;cat 951;361;2018-12-22;557
963;100963;product 963;cat 952;2241;2018-02-01;69669
964;100964;product 964;cat 953;4851;2018-04-13;60745
965;100965;product 965;cat 954;1075;2018-02-11;81788
966;100966;product 966;cat 955;2159;2017-06-16;75454
967;100967;product 967;cat 956;2954;2018-02-15;32855
968;100968;product 968;cat 957;969;2017-08-14;33850
969;100969;product 969;cat 958;4557;2017-08-04;48678
970;100970;product 970;cat 959;4370;2017-05-19;16724
971;100971;product 971;cat 960;3612;2018-08-22;12077
972;100972;product 972;cat 961;3991;2017-04-23;70916
973;100973;product 973;cat 962;738;2017-07-28;81317
974;100974;product 974;cat 963;562;2018-11-02;7818
975;100975;product 975;cat 964;441;2017-01-14;71424
976;100976;product 976;cat 965;2348;2017-11-01;25462
977;100977;product 977;cat 966;584;2017-08-16;85443
978;100978;product 978;cat 967;2452;2018-10-18;69449
979;100979;product 979;cat 968;1957;2017-07-29;60713
980;100980;product 980;cat 969;2488;2018-01-22;11198
981;100981;product 981;cat 970;4931;2018-01-29;56940
982;100982;product 982;cat 971;1629;2017-05-25;11140
983;100983;product 983;cat 972;999;2017-02-01;27796
984;100984;product 984;cat 973;1499;2018-03-12;65274
985;100985;product 985;cat 974;1633;2017-01-07;85226
986;100986;product 986;cat 975;2661;2018-04-25;11681
987;100987;product 987;cat 976;1359;2017-07-18;22890
988;100988;product 988;cat 977;1466;2017-12-26;33939
989;100989;product 989;cat 978;2249;2017-09-08;52622
990;100990;product 990;cat 979;4520;2017-10-11;51026
991;100991;product 991;cat 980;3756;2017-05-11;80777
992;100992;product 992;cat 981;2187;2018-09-11;81388
993;100993;product 993;cat 982;2207;2017-07-17;15870
994;100994;product 994;cat 983;3476;2017-05-14;43829
995;100995;product 995;cat 984;1086;2018-04-29;34350
996;100996;product 996;cat 985;1643;2017-05-21;43318
997;100997;product 997;cat 986;2279;2018-01-03;25698
998;100998;product 998;cat 987;2533;2018-01-27;70115
999;100999;product 999;cat 988;2568;2017-08-23;23054
1000;101000;product 1000;cat 989;1201;2018-10-18;6698
;;;;;;
